,DPTO,NOMDPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
159,38049,Rinconada,2298,2323,2348,2374,2399,2424,2449,2475,2500,2525,2461,2411,2353,2296,2235,2173,2116,2058,1997,1929,1866,1797,1722,1658,1590
160,42049,Chalileo,2517,2576,2636,2695,2754,2814,2873,2932,2992,3051,3036,3021,3006,2991,2975,2960,2945,2929,2914,2898,2883,2868,2852,2837,2821
161,46049,Famatina,6371,6336,6300,6265,6229,6194,6158,6123,6087,6052,6138,6215,6297,6383,6463,6522,6604,6683,6765,6845,6914,6984,7053,7118,7183
162,50049,Las Heras,182962,185720,188478,191237,193995,196753,199511,202270,205028,207786,210081,212364,214630,216874,219093,221286,223455,225597,227708,229786,231829,233839,235813,237750,239650
163,54049,General Manuel Belgrano,33488,34573,35658,36744,37829,38914,39999,41085,42170,43255,43449,43643,43834,44024,44211,44397,44580,44761,44939,45114,45286,45456,45622,45785,45945
164,58049,Huiliches,12700,12986,13272,13558,13844,14130,14416,14702,14988,15274,15778,16279,16773,17260,17737,18207,18667,19122,19568,20005,20432,20853,21265,21667,22063
165,62049,9 de Julio,3501,3506,3512,3517,3522,3528,3533,3538,3544,3549,3556,3569,3581,3593,3604,3616,3627,3638,3650,3660,3671,3682,3692,3702,3713
166,66049,General Güemes,42255,42915,43575,44235,44895,45554,46214,46874,47534,48194,48844,49494,50142,50786,51425,52060,52691,53317,53936,54547,55150,55746,56334,56914,57485
167,70049,Iglesia,6737,7017,7298,7578,7859,8139,8420,8700,8981,9261,9224,9187,9150,9114,9077,9040,9004,8968,8932,8896,8861,8826,8791,8756,8722
168,74049,Junín,20271,21308,22346,23383,24420,25458,26495,27532,28570,29607,30509,31410,32311,33211,34108,35004,35896,36786,37671,38549,39422,40289,41148,41997,42835
169,78049,Río Chico,2926,3176,3426,3676,3926,4175,4425,4675,4925,5175,5265,5356,5447,5539,5630,5721,5813,5904,5996,6088,6179,6271,6362,6454,6546
170,82049,General Obligado,166436,167919,169403,170886,172369,173853,175336,176819,178303,179786,181231,182693,184169,185654,187147,188642,190138,191631,193119,194600,196072,197533,198981,200418,201842
171,86049,Capital,244567,247250,249933,252616,255299,257981,260664,263347,266030,268713,273542,278426,283379,288367,293414,298470,303566,308665,313759,318823,323845,328824,333754,338601,343374
172,90049,La Cocha,17683,17890,18097,18304,18511,18719,18926,19133,19340,19547,19686,19826,19965,20105,20244,20383,20521,20659,20795,20930,21063,21196,21326,21455,21583
173,6056,Bahía Blanca,284776,286935,289094,291253,293412,295570,297729,299888,302047,304206,306914,309592,312249,314862,317440,319988,322496,324970,327413,329809,332174,334505,336804,339065,341300
174,10056,El Alto,3400,3430,3460,3491,3521,3551,3581,3612,3642,3672,3733,3793,3857,3916,3975,4032,4094,4150,4210,4266,4320,4375,4429,4483,4534
175,14056,Juárez Celman,55348,55996,56645,57293,57941,58590,59238,59886,60535,61183,61778,62376,62976,63576,64176,64775,65374,65969,66562,67152,67737,68317,68891,69459,70020
176,18056,General Alvear,8147,8148,8149,8151,8152,8153,8154,8156,8157,8158,8210,8315,8394,8473,8551,8657,8709,8788,8867,8945,8972,9051,9103,9129,9182
177,22056,General Donovan,13385,13436,13487,13537,13588,13639,13690,13740,13791,13842,13947,14050,14155,14260,14365,14469,14569,14672,14771,14870,14966,15061,15153,15242,15332
178,26056,Languiñeo,3017,3030,3042,3055,3067,3080,3092,3105,3117,3130,3199,3269,3328,3351,3351,3328,3304,3246,3188,3095,2990,2862,2733,2570,2407
179,30056,Gualeguaychú,101350,102438,103527,104615,105704,106792,107881,108969,110058,111146,112328,113512,114697,115881,117064,118243,119418,120589,121751,122904,124045,125176,126293,127395,128482
180,34056,Pirane,64023,64391,64758,65126,65493,65861,66228,66596,66963,67331,67795,68255,68715,69169,69620,70064,70504,70936,71358,71770,72170,72560,72936,73299,73646
181,38056,San Antonio,3698,3789,3880,3971,4062,4154,4245,4336,4427,4518,4689,4863,5039,5218,5399,5583,5768,5957,6146,6339,6533,6729,6925,7122,7324
182,42056,Chapaleufú,10787,10912,11037,11163,11288,11413,11538,11664,11789,11914,11946,11978,12010,12042,12073,12103,12133,12163,12193,12221,12249,12277,12303,12329,12354
183,46056,General Angel V. Peñaloza,3127,3131,3136,3140,3145,3149,3154,3158,3163,3167,3168,3169,3171,3172,3174,3175,3176,3178,3179,3181,3181,3184,3185,3186,3188
184,50056,Lavalle,32129,32720,33310,33901,34492,35082,35673,36264,36854,37445,38294,39139,39978,40808,41630,42442,43244,44036,44818,45586,46342,47086,47816,48534,49236
185,54056,Guaraní,57818,59014,60211,61407,62603,63800,64996,66192,67389,68585,69336,70081,70821,71553,72275,72989,73697,74394,75082,75757,76421,77075,77717,78346,78963
186,58056,Lacar,24670,25353,26036,26720,27403,28086,28769,29453,30136,30819,31562,32306,33048,33787,34524,35255,35985,36710,37431,38148,38859,39567,40270,40969,41664
187,62056,Ñorquinco,2079,2046,2013,1980,1947,1914,1881,1848,1815,1782,1742,1720,1684,1651,1623,1598,1573,1548,1523,1499,1476,1452,1434,1411,1390
188,66056,General José de San Martín,139204,141525,143846,146167,148488,150809,153130,155451,157772,160093,161589,163082,164570,166050,167519,168977,170427,171866,173288,174691,176078,177448,178800,180132,181444
189,70056,Jáchal,21018,21155,21292,21430,21567,21704,21841,21979,22116,22253,22506,22762,23018,23272,23524,23778,24030,24281,24532,24778,25024,25269,25509,25748,25985
190,74056,La Capital,168771,173288,177805,182323,186840,191357,195874,200392,204909,209426,213759,218091,222423,226746,231062,235364,239660,243933,248186,252415,256610,260769,264891,268973,273008
191,82056,Iriondo,65486,65771,66056,66342,66627,66912,67197,67483,67768,68053,68531,69014,69500,69984,70467,70944,71416,71879,72336,72780,73213,73636,74044,74440,74823
192,86056,Copo,26984,27873,28761,29650,30539,31427,32316,33205,34093,34982,35035,35090,35145,35201,35257,35314,35371,35428,35484,35541,35597,35653,35708,35762,35815
193,90056,Leales,51090,51697,52305,52912,53520,54127,54735,55342,55950,56557,57385,58214,59046,59875,60702,61526,62346,63163,63973,64774,65566,66352,67128,67895,68649
194,6063,Balcarce,42039,42278,42517,42756,42995,43234,43473,43712,43951,44190,44577,44959,45339,45713,46079,46444,46799,47155,47503,47844,48180,48516,48844,49165,49484
195,10063,Fray Mamerto Esquiú,10658,10830,11003,11175,11347,11520,11692,11864,12037,12209,12417,12625,12833,13039,13245,13448,13651,13851,14049,14245,14435,14624,14806,14986,15161
196,14063,Marcos Juárez,99761,100431,101100,101770,102439,103109,103778,104448,105117,105787,105920,106053,106186,106316,106445,106573,106698,106821,106941,107059,107174,107286,107394,107499,107600
197,18063,General Paz,14775,14828,14881,14934,14987,15039,15092,15145,15198,15251,15400,15556,15709,15859,16011,16164,16314,16457,16604,16744,16881,17016,17150,17277,17399
198,22063,General Güemes,62227,62945,63663,64382,65100,65818,66536,67255,67973,68691,68668,68646,68623,68601,68578,68556,68534,68512,68491,68470,68449,68429,68409,68389,68370
199,26063,Martires,977,957,936,916,896,875,855,835,814,794,786,780,775,771,767,764,760,757,755,750,747,744,741,739,737
200,30063,Islas del Ibicuy,11498,11584,11670,11756,11842,11929,12015,12101,12187,12273,12421,12568,12715,12863,13007,13152,13295,13437,13577,13716,13850,13984,14114,14243,14366
201,34063,Ramón Lista,10928,11299,11670,12041,12412,12782,13153,13524,13895,14266,14569,14870,15169,15466,15760,16050,16338,16619,16895,17164,17425,17678,17923,18159,18385
202,38063,San Pedro,71037,71622,72207,72791,73376,73961,74546,75130,75715,76300,77423,78538,79634,80710,81760,82782,83776,84741,85672,86563,87418,88237,89014,89751,90445
203,42063,Chical Có,1595,1590,1584,1579,1574,1568,1563,1558,1552,1547,1536,1528,1517,1504,1506,1501,1493,1485,1474,1471,1469,1461,1458,1455,1452
204,46063,General Belgrano,7161,7208,7255,7302,7349,7396,7443,7490,7537,7584,7586,7589,7591,7594,7596,7599,7601,7604,7607,7609,7612,7615,7617,7620,7622
205,50063,Luján de Cuyo,104470,106439,108407,110376,112344,114313,116281,118250,120218,122187,126565,130920,135242,139524,143755,147939,152075,156162,160189,164150,168048,171883,175647,179341,182965
206,54063,Iguazú,66539,68363,70186,72010,73834,75657,77481,79305,81128,82952,84448,85930,87401,88856,90293,91712,93119,94507,95874,97218,98538,99838,101115,102366,103593
207,58063,Loncopué,6457,6539,6621,6703,6785,6868,6950,7032,7114,7196,7246,7295,7343,7388,7432,7475,7516,7554,7592,7628,7662,7696,7727,7757,7786
208,62063,Pichi Mahuída,14026,14064,14102,14140,14178,14216,14254,14292,14330,14368,14540,14713,14911,15084,15257,15455,15628,15801,15974,16171,16344,16493,16665,16838,17011
209,66063,Guachipas,3211,3217,3223,3229,3235,3240,3246,3252,3258,3264,3279,3303,3318,3334,3357,3381,3397,3412,3436,3451,3467,3491,3506,3522,3537
210,70063,9 de julio,7652,7855,8059,8262,8465,8669,8872,9075,9279,9482,9735,9990,10247,10501,10753,11007,11260,11512,11761,12009,12254,12498,12739,12977,13214
211,74063,Libertador General San Martín,5189,5153,5117,5081,5045,5008,4972,4936,4900,4864,4849,4834,4819,4805,4790,4776,4761,4747,4733,4719,4704,4691,4677,4663,4649
212,82063,La Capital,489505,494607,499709,504811,509913,515015,520117,525219,530321,535423,538143,540892,543661,546441,549224,552003,554772,557525,560254,562955,565624,568259,570856,573416,575938
213,86063,Choya,33720,33472,33223,32975,32726,32478,32229,31981,31732,31484,32463,33457,34462,35478,36498,37528,38562,39596,40631,41659,42679,43692,44692,45679,46648
214,90063,Lules,57235,58673,60111,61550,62988,64426,65864,67303,68741,70179,72147,74120,76096,78068,80033,81993,83943,85883,87807,89712,91597,93464,95309,97130,98927
215,6070,Baradero,29562,29941,30319,30698,31076,31455,31833,32212,32590,32969,33527,34079,34628,35168,35699,36225,36743,37254,37757,38253,38741,39223,39696,40164,40623
216,10070,La Paz,21061,21306,21550,21795,22039,22284,22528,22773,23017,23262,23528,23792,24057,24321,24582,24842,25100,25357,25609,25857,26101,26341,26575,26802,27024
217,14070,Minas,4881,4887,4893,4898,4904,4910,4916,4921,4927,4933,4924,4915,4907,4899,4891,4885,4878,4872,4867,4862,4858,4855,4851,4849,4848
218,18070,Goya,87349,87904,88459,89015,89570,90125,90680,91236,91791,92346,93544,94744,95944,97141,98331,99511,100681,101838,102972,104082,105164,106223,107251,108249,109213
219,22070,Independencia,20620,20876,21132,21389,21645,21901,22157,22414,22670,22926,22842,22758,22674,22590,22507,22424,22342,22260,22180,22101,22023,21948,21873,21800,21729
220,26070,Paso de los Indios,1905,1904,1903,1902,1901,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1888,1887,1885,1883,1882,1880,1877,1876
221,30070,La Paz,66158,66372,66586,66799,67013,67227,67441,67654,67868,68082,68620,69546,70187,70816,71432,72032,72619,73188,73740,74272,74782,75271,75737,76180,76598
222,38070,Santa Bárbara,17115,17218,17321,17424,17527,17629,17732,17835,17938,18041,18281,18520,18751,18976,19197,19408,19613,19808,19996,20173,20338,20497,20643,20780,20902
223,42070,Guatraché,9306,9282,9258,9233,9209,9185,9161,9136,9112,9088,9102,9117,9135,9155,9177,9202,9230,9258,9289,9323,9359,9397,9437,9480,9524
224,46070,General Juan F.Quiroga,4546,4513,4479,4446,4412,4379,4345,4312,4278,4245,4224,4204,4184,4164,4143,4123,4106,4087,4068,4050,4031,4013,3997,3982,3966
225,50070,Maipú,153600,156064,158528,160992,163456,165921,168385,170849,173313,175777,179576,183353,187102,190815,194487,198117,201706,205250,208743,212180,215561,218887,222155,225358,228501
226,54070,Leandro N. Alem,41670,42108,42546,42984,43422,43860,44298,44736,45174,45612,45947,46279,46608,46933,47255,47573,47887,48198,48504,48805,49100,49391,49677,49957,50232
227,58070,Los Lagos,8654,9058,9463,9867,10271,10676,11080,11484,11889,12293,12528,12769,13016,13268,13527,13791,14061,14338,14619,14908,15201,15502,15808,16121,16441
228,62070,Pilnaniyeu,6114,6271,6428,6585,6742,6898,7055,7212,7369,7526,7680,7833,7986,8138,8289,8439,8587,8735,8881,9025,9168,9309,9449,9585,9721
229,66070,Iruya,6368,6342,6317,6291,6266,6240,6215,6189,6164,6138,6136,6134,6132,6130,6128,6126,6124,6123,6121,6119,6117,6116,6114,6112,6110
230,70070,Pocito,40969,42424,43878,45333,46787,48242,49696,51151,52605,54060,55648,57238,58829,60417,62001,63581,65155,66724,68282,69826,71359,72879,74384,75875,77348
231,82070,Las Colonias,95202,96495,97788,99081,100374,101666,102959,104252,105545,106838,107464,108100,108743,109393,110049,110710,111376,112044,112714,113385,114058,114730,115402,116074,116745
232,86070,Figueroa,17495,17551,17607,17663,17719,17774,17830,17886,17942,17998,18181,18365,18548,18735,18922,19116,19303,19494,19684,19871,20058,20246,20429,20613,20789
233,90070,Monteros,58442,59218,59994,60771,61547,62323,63099,63876,64652,65428,66446,67466,68488,69507,70524,71537,72545,73549,74544,75528,76503,77469,78423,79364,80294
234,6077,Bartolomé Mitre,27279,27498,27717,27937,28156,28375,28594,28814,29033,29252,29506,29755,30002,30246,30486,30723,30957,31188,31414,31638,31859,32077,32290,32501,32709
235,10077,Paclin,4290,4293,4295,4298,4301,4303,4306,4309,4311,4314,4314,4356,4398,4441,4483,4483,4526,4568,4611,4611,4696,4696,4738,4780,4823
236,14077,Pocho,5132,5166,5199,5233,5266,5300,5333,5367,5400,5434,5399,5365,5332,5300,5267,5236,5206,5177,5149,5120,5095,5070,5046,5023,5002
237,18077,Itatí,8774,8845,8915,8986,9056,9127,9197,9268,9338,9409,9629,9849,10067,10285,10505,10720,10935,11145,11352,11556,11755,11946,12136,12316,12494
238,22077,Libertad,10822,10999,11177,11354,11532,11709,11887,12064,12242,12419,12534,12650,12767,12883,12999,13113,13228,13341,13453,13562,13669,13775,13878,13979,14078
239,26077,Rawson,115829,117720,119611,121502,123393,125285,127176,129067,130958,132849,134114,135334,136504,137617,138671,139669,140605,141486,142304,143071,143775,144420,145013,145553,146038
240,30077,Nogoya,38840,38938,39036,39134,39232,39329,39427,39525,39623,39721,40038,40353,40662,40960,41250,41529,41799,42056,42302,42532,42751,42954,43140,43311,43467
241,38077,Santa Catalina,3140,3109,3078,3047,3016,2985,2954,2923,2892,2861,2844,2826,2806,2787,2768,2752,2732,2713,2692,2673,2656,2641,2623,2603,2582
242,42077,Hucal,7838,7830,7822,7815,7807,7799,7791,7784,7776,7768,7763,7758,7753,7748,7744,7740,7735,7731,7726,7721,7716,7713,7708,7704,7699
243,46077,General Lamadrid,1717,1725,1732,1740,1748,1755,1763,1771,1778,1786,1792,1801,1809,1818,1826,1834,1843,1851,1859,1869,1876,1885,1894,1901,1910
244,50077,Malargüe,23020,23590,24160,24730,25300,25871,26441,27011,27581,28151,28542,28931,29318,29701,30079,30453,30824,31189,31549,31903,32253,32596,32932,33263,33586
245,54077,Libertador General San Martín,42440,42958,43476,43994,44512,45030,45548,46066,46584,47102,47550,47994,48437,48873,49303,49729,50151,50566,50977,51379,51776,52166,52547,52923,53291
246,58077,Minas,7072,7133,7194,7255,7316,7376,7437,7498,7559,7620,7771,7922,8069,8212,8354,8488,8630,8759,8893,9022,9146,9267,9387,9507,9627
247,62077,San Antonio,23972,24605,25238,25871,26504,27136,27769,28402,29035,29668,30178,30688,31195,31700,32201,32698,33192,33680,34087,34554,35015,35473,36046,36501,36951
248,66077,La Caldera,5711,5953,6195,6437,6679,6920,7162,7404,7646,7888,8263,8639,9012,9384,9751,10117,10482,10843,11201,11553,11901,12246,12584,12919,13248
249,70077,Rawson,107740,108770,109799,110829,111859,112888,113918,114948,115977,117007,118659,120312,121968,123620,125268,126909,128548,130180,131801,133407,135000,136582,138150,139699,141232
250,82077,9 de Julio,28273,28510,28748,28985,29223,29460,29698,29935,30173,30410,30453,30497,30541,30586,30631,30676,30721,30765,30810,30854,30898,30942,30985,31027,31070
251,86077,General Taboada,36683,36876,37070,37263,37457,37650,37844,38037,38231,38424,39056,39701,40349,41006,41664,42331,42997,43664,44328,44992,45649,46304,46945,47581,48207
252,90077,Río Chico,52925,53541,54157,54772,55388,56004,56620,57235,57851,58467,59013,59560,60108,60656,61201,61744,62286,62823,63357,63886,64409,64927,65439,65944,66443
253,6084,Benito Juárez,19443,19553,19662,19772,19881,19991,20100,20210,20319,20429,20497,20559,20627,20695,20757,20825,20887,20949,21011,21067,21129,21185,21246,21302,21358
254,10084,Poman,9543,9711,9880,10048,10216,10385,10553,10721,10890,11058,11158,11259,11358,11457,11556,11654,11751,11848,11943,12036,12128,12219,12307,12393,12477
255,14084,Presidente Roque Sáenz Peña,34647,34901,35156,35410,35664,35919,36173,36427,36682,36936,36990,37044,37098,37151,37204,37256,37307,37358,37408,37456,37504,37551,37596,37640,37683
256,18084,Ituzaingó,30565,30725,30884,31044,31203,31363,31522,31682,31841,32001,32583,33166,33755,34337,34916,35492,36064,36630,37184,37722,38253,38767,39270,39756,40228
257,22084,Libertador General San Martín,54470,55140,55810,56480,57150,57819,58489,59159,59829,60499,60909,61321,61732,62144,62554,62961,63366,63766,64161,64549,64929,65304,65669,66027,66376
258,26084,Río Senguer,6194,6181,6167,6154,6140,6127,6113,6100,6086,6073,6059,6101,6127,6148,6178,6204,6216,6228,6275,6303,6327,6347,6365,6382,6395
259,30084,Paraná,319614,322482,325350,328219,331087,333955,336823,339692,342560,345428,349191,352944,356683,360404,364091,367748,371373,374951,378487,381953,385369,388716,391994,395194,398323
260,38084,Susques,3628,3653,3679,3704,3729,3755,3780,3805,3831,3856,3866,3876,3886,3896,3906,3915,3924,3933,3942,3950,3958,3966,3973,3980,3987
261,42084,Lihuel Calel,547,537,527,517,507,497,487,477,467,457,453,450,447,444,442,440,437,435,433,431,429,428,426,424,423
262,46084,General Ocampo,7331,7335,7339,7343,7347,7351,7355,7359,7363,7367,7365,7363,7362,7360,7358,7357,7355,7353,7351,7350,7348,7347,7345,7343,7342
263,50084,Rivadavia,52567,53123,53678,54234,54789,55345,55900,56456,57011,57567,58096,58625,59149,59667,60180,60687,61188,61683,62171,62651,63124,63589,64045,64492,64932
264,54084,Montecarlo,34073,34419,34765,35111,35457,35803,36149,36495,36841,37187,37313,37440,37564,37688,37810,37930,38050,38167,38283,38397,38509,38620,38728,38834,38937
265,58084,Ñorquín,4628,4741,4855,4968,5082,5195,5309,5422,5536,5649,5641,5634,5626,5619,5613,5606,5600,5594,5588,5582,5577,5572,5566,5562,5557
266,62084,Valcheta,4946,5182,5417,5653,5889,6124,6360,6596,6831,7067,6761,6444,6202,5961,5739,5520,5353,5205,4978,4722,4500,4300,4092,3896,3769
267,66084,La Candelaria,5286,5346,5406,5467,5527,5587,5647,5708,5768,5828,5942,6059,6176,6290,6407,6520,6631,6744,6855,6965,7072,7182,7285,7391,7491
268,70084,Rivadavia,76150,77078,78007,78935,79863,80792,81720,82648,83577,84505,85926,87347,88769,90191,91607,93019,94429,95830,97222,98605,99974,101334,102681,104014,105331
269,82084,Rosario,1121441,1132191,1142941,1153690,1164440,1175190,1185940,1196689,1207439,1218189,1228458,1238844,1249261,1259668,1270015,1280263,1290386,1300341,1310095,1319628,1328921,1337958,1346724,1355231,1363463
270,86084,Guasayán,7404,7434,7464,7493,7523,7553,7583,7612,7642,7672,7801,7930,8060,8193,8323,8452,8590,8724,8854,8987,9121,9251,9380,9505,9630
271,90084,Capital,527607,531786,535966,540145,544324,548504,552683,556862,561042,565221,567086,568958,570828,572699,574562,576418,578267,580105,581926,583732,585519,587289,589036,590762,592463
272,30088,San Salvador,16118,16285,16452,16619,16786,16954,17121,17288,17455,17622,17886,18152,18418,18683,18950,19216,19482,19747,20009,20270,20529,20786,21040,21292,21539
273,6091,Berazategui,287913,292157,296401,300645,304889,309133,313377,317621,321865,326109,328979,331859,334744,337523,340261,342961,345626,348253,350842,353425,355851,358328,360767,363171,365607
274,10091,Santa María,22127,22246,22365,22485,22604,22723,22842,22962,23081,23200,23512,23824,24133,24442,24754,25059,25360,25662,25960,26251,26538,26822,27098,27367,27629
275,14091,Punilla,155124,157714,160305,162895,165486,168076,170667,173257,175848,178438,181718,185035,188384,191764,195169,198598,202047,205515,208996,212488,215987,219494,223002,226507,230007
276,18091,Lavalle,26250,26606,26963,27319,27676,28032,28389,28745,29102,29458,30401,31349,32295,33238,34178,35110,36036,36946,37840,38717,39573,40406,41220,42005,42766
277,22091,Maipú,24747,24881,25014,25148,25282,25415,25549,25683,25816,25950,25984,26022,26059,26096,26133,26168,26202,26236,26267,26297,26326,26354,26379,26403,26425
278,26091,Sarmiento,8724,9028,9332,9636,9940,10243,10547,10851,11155,11459,11699,11941,12186,12434,12683,12934,13188,13442,13699,13957,14216,14477,14738,15003,15267
279,30091,Tala,25892,25919,25947,25974,26002,26029,26057,26084,26112,26139,26713,27287,27836,28340,28819,29272,29681,30055,30377,30664,30899,31091,31230,31325,31360
280,42091,Limay Mahuida,475,480,484,489,493,498,502,507,511,516,509,500,491,481,474,465,456,447,438,430,421,413,404,395,386
281,46091,General San Martín,4956,4971,4986,5001,5016,5032,5047,5062,5077,5092,5086,5080,5073,5067,5061,5054,5048,5042,5035,5029,5024,5017,5011,5005,4999
282,50091,San Carlos,28341,28886,29432,29977,30523,31068,31614,32159,32705,33250,33822,34393,34958,35518,36072,36619,37161,37694,38222,38740,39251,39752,40244,40728,41202
283,54091,Oberá,95667,97113,98559,100005,101451,102897,104343,105789,107235,108681,109746,110802,111849,112885,113907,114918,115920,116908,117882,118838,119778,120703,121612,122504,123376
284,58091,Pehuenches,13765,14856,15948,17039,18130,19222,20313,21404,22496,23587,24109,24631,25152,25673,26190,26706,27218,27727,28233,28733,29229,29721,30207,30688,31164
285,62091,25 de Mayo,13153,13466,13779,14092,14405,14719,15032,15345,15658,15971,16021,16071,16121,16171,16221,16270,16318,16367,16414,16462,16508,16555,16600,16645,16689
286,66091,La Poma,1735,1740,1745,1750,1755,1759,1764,1769,1774,1779,1779,1780,1781,1781,1783,1784,1783,1784,1786,1787,1787,1789,1790,1790,1790
287,70091,San Martín,10140,10276,10411,10547,10682,10818,10953,11089,11224,11360,11670,11982,12292,12603,12913,13221,13527,13835,14141,14441,14741,15037,15332,15623,15911
288,82091,San Cristobal,64935,65522,66109,66695,67282,67869,68456,69042,69629,70216,70411,70608,70807,71007,71208,71408,71609,71808,72007,72204,72399,72593,72784,72973,73160
289,86091,Jiménez,13170,13310,13451,13591,13732,13872,14013,14153,14294,14434,14770,15113,15459,15808,16157,16508,16865,17219,17574,17925,18276,18622,18967,19306,19638
290,90091,Simoca,29932,30141,30350,30558,30767,30976,31185,31393,31602,31811,32244,32679,33116,33551,33984,34416,34848,35274,35698,36119,36536,36946,37354,37755,38153
291,38094,Tilcara,10403,10636,10869,11102,11335,11567,11800,12033,12266,12499,12666,12835,13006,13180,13354,13531,13710,13890,14071,14253,14436,14621,14806,14991,15178
292,6098,Berisso,80092,81090,82087,83085,84082,85080,86077,87075,88072,89070,90107,91134,92151,93154,94143,95118,96081,97029,97966,98884,99791,100685,101565,102434,103289
293,10098,Santa Rosa,10349,10570,10792,11013,11235,11456,11678,11899,12121,12342,12426,12510,12594,12677,12760,12842,12924,13004,13085,13164,13241,13317,13390,13463,13533
294,14098,Río Cuarto,229728,232177,234626,237075,239524,241974,244423,246872,249321,251770,254054,256334,258604,260860,263098,265314,267506,269671,271803,273901,275960,277979,279954,281881,283760
295,18098,Mburucuyá,9012,9066,9121,9175,9229,9284,9338,9392,9447,9501,9676,9851,10026,10205,10377,10552,10725,10894,11060,11223,11383,11541,11692,11837,11979
296,22098,Mayor Luis J. Fontana,53550,53873,54196,54519,54842,55166,55489,55812,56135,56458,56744,57030,57316,57602,57887,58171,58451,58729,59004,59273,59538,59798,60052,60300,60544
297,26098,Tehuelches,5159,5193,5227,5262,5296,5330,5364,5399,5433,5467,5780,6057,6279,6463,6574,6630,6648,6611,6500,6371,6187,5947,5688,5356,4987
298,30098,Uruguay,94070,94986,95902,96818,97734,98651,99567,100483,101399,102315,103441,104566,105692,106814,107932,109044,110150,111247,112334,113408,114469,115516,116547,117560,118554
299,38098,Tumbaya,4553,4574,4595,4616,4637,4657,4678,4699,4720,4741,4798,4855,4912,4964,5017,5064,5112,5155,5195,5233,5267,5298,5326,5350,5369
300,42098,Loventué,8649,8672,8695,8717,8740,8763,8786,8808,8831,8854,8899,8942,8985,9023,9060,9094,9126,9155,9182,9204,9225,9243,9258,9270,9279
301,46098,Vinchina,2834,2832,2830,2828,2826,2824,2822,2820,2818,2816,2806,2796,2787,2777,2767,2758,2746,2737,2727,2718,2706,2695,2681,2671,2662
302,50098,San Martín,108448,109806,111163,112521,113879,115236,116594,117952,119309,120667,122318,123960,125589,127204,128800,130377,131937,133477,134995,136489,137959,139406,140825,142219,143583
303,54098,San Ignacio,55038,55419,55799,56180,56560,56941,57321,57702,58082,58463,58881,59296,59708,60116,60519,60917,61310,61701,62084,62460,62830,63194,63552,63902,64246
304,58098,Picún Leufú,4272,4326,4380,4434,4488,4541,4595,4649,4703,4757,4786,4816,4846,4875,4903,4931,4958,4985,5012,5037,5062,5087,5111,5135,5158
305,66098,La Viña,7152,7202,7252,7302,7352,7402,7452,7502,7552,7602,7713,7824,7934,8045,8152,8259,8366,8473,8580,8685,8785,8888,8988,9088,9184
306,70098,Santa Lucía,43565,44184,44804,45423,46042,46662,47281,47900,48520,49139,50283,51429,52575,53719,54859,55998,57133,58262,59386,60497,61602,62697,63782,64854,65917
307,82098,San Javier,29912,30097,30283,30468,30654,30839,31025,31210,31396,31581,31714,31850,31985,32122,32258,32393,32528,32662,32794,32925,33053,33180,33304,33426,33546
308,86098,Juan F. Ibarra,16937,17075,17212,17350,17488,17625,17763,17901,18038,18176,18368,18562,18759,18959,19160,19360,19562,19767,19969,20168,20369,20567,20762,20956,21145
309,90098,Tafí del Valle,13883,14047,14212,14376,14541,14705,14870,15034,15199,15363,15955,16549,17147,17739,18331,18923,19509,20096,20677,21253,21820,22382,22938,23488,24031
310,6105,Bolívar,32442,32667,32892,33117,33342,33568,33793,34018,34243,34468,34710,34951,35190,35425,35659,35887,36113,36334,36555,36771,36985,37194,37399,37605,37804
311,10105,Tinogasta,22570,22621,22672,22723,22774,22826,22877,22928,22979,23030,23223,23417,23605,23799,23979,24173,24353,24547,24727,24907,25080,25254,25420,25586,25738
312,14105,Río Primero,42429,42940,43451,43962,44473,44985,45496,46007,46518,47029,47956,48887,49823,50760,51697,52633,53568,54502,55431,56353,57270,58181,59085,59977,60860
313,18105,Mercedes,39206,39488,39769,40051,40333,40614,40896,41178,41459,41741,42438,43135,43831,44528,45219,45905,46587,47257,47917,48562,49190,49807,50403,50983,51543
314,22105,9 de Julio,26955,27208,27462,27715,27969,28222,28476,28729,28983,29236,29320,29404,29489,29574,29658,29741,29824,29907,29988,30068,30146,30223,30297,30371,30443
315,26105,Telsen,1788,1776,1763,1751,1739,1726,1714,1702,1689,1677,1667,1662,1655,1648,1641,1634,1630,1624,1622,1615,1610,1608,1603,1598,1593
316,30105,Victoria,34097,34347,34597,34847,35097,35347,35597,35847,36097,36347,36689,37032,37374,37714,38051,38384,38715,39043,39365,39683,39994,40301,40599,40893,41178
317,38105,Valle Grande,2386,2398,2410,2422,2434,2447,2459,2471,2483,2495,2494,2494,2493,2493,2492,2492,2491,2491,2490,2490,2490,2490,2489,2489,2489
318,42105,Maracó,54699,55341,55983,56625,57267,57909,58551,59193,59835,60477,61236,61990,62740,63482,64218,64940,65655,66361,67059,67739,68408,69067,69712,70346,70966
319,46105,Independencia,2405,2415,2426,2436,2446,2457,2467,2477,2488,2498,2490,2483,2475,2466,2457,2449,2441,2432,2425,2414,2406,2399,2389,2381,2372
